cino,act
ASNG050005162016,852
ASNG050005162016,853
ASNG050006892021,465
ASNG050011782017,464
ASNG050011782017,855
ASNG030015952016,554
ASNG050002532021,235
ASNG050002532021,236
ASNG030062062022,862
ASNG050009892017,236
ASNG050009892017,31
ASNG050009892017,30
ASNG030017022022,35
ASNG030017022022,72
ASNG030017022022,14
ASNG030017022022,236
ASNG050011792017,464
ASNG050011792017,855
ASKJ010016302022,49
ASKJ010016302022,675
ASKJ010016302022,236
ASKJ040038442021,248
ASKJ040038442021,64
ASKJ040038442021,707
ASKJ040038442021,13
ASKJ040038442021,28
ASKJ040038442021,708
ASKJ040038442021,14
ASKJ040038442021,709
ASKJ040038442021,710
ASKJ040005232015,711
ASKJ040005232015,582
ASKJ040005232015,712
ASKJ040005232015,713
ASKJ040005232015,714
ASKJ040065562022,716
ASKJ040065562022,717
ASKJ040065562022,272
ASKJ040065562022,476
ASKJ040028542021,42
ASKJ040028542021,22
ASKJ040028542021,14
ASKJ040028542021,28
ASKJ040028542021,33
ASKJ040028542021,720
ASKJ040019332020,57
ASKJ040019332020,64
ASKJ040019332020,707
ASKJ040019332020,13
ASKJ040019332020,28
ASKJ040019332020,708
ASKJ040019332020,14
ASKJ040019332020,709
ASKJ040019332020,710
ASKJ040011002019,236
ASDB020090162018,236
ASDB020037462020,736
ASDB020037462020,40
ASDB020037462020,14
ASDB020037462020,236
ASDB020037462020,737
ASDB020019782021,236
ASDB020058552015,236
ASDB020037872020,35
ASDB020037872020,236
ASDB020037872020,344
ASDB020020032020,236
ASDB020019692021,470
ASDB020019692021,236
ASDB020101522017,236
ASDB020084822018,236
ASDB020026352019,236
ASDB020056522016,236
MHCC020081802019,749
MHCC020081802019,472
MHCC020081802019,163
MHCC020081802019,164
ASDB020023082022,236
ASDB020055902019,470
ASDB020055902019,751
ASDB020010882023,42
ASDB020010882023,755
ASDB020007382020,236
ASNG010007872021,97
ASNG010007872021,762
ASNG010007872021,675
ASNG010007872021,236
ASNG010007872021,763
ASNG010007872021,764
ASNG010007872021,765
ASNG010007872021,766
ASNG010007872021,767
ASNG010007872021,344
ASNG010007872021,488
AS01060077482021,784
AS01060077482021,344
ASDB020031862021,236
ASDB020001382020,236
ASDB020030202019,507
ASDB020084542018,507
ASDB020056592015,236
ASDB020034882019,236
ASDB020067272015,236
ASDB020077282018,236
ASDB020001922022,32
ASDB020001922022,31
ASDB020001922022,35
ASDB020001922022,14
ASDB020001922022,236
ASDB020001922022,344
ASDB020088532018,235
ASDB020054102015,236
ASDB020087222018,235
ASDB020087652018,236
ASDB080000742023,772
ASDB080000742023,773
ASDB080000742023,774
ASDB020057892018,235
ASDB020029572020,236
ASDB020001742020,236
ASDB020004422016,236
ASDB020054132015,236
ASDB020080362018,236
ASDB020039972021,236
ASDB020083062018,2
ASDB020083062018,235
ASDB020009982021,2
ASDB020009982021,35
ASDB020009982021,781
ASDB020009982021,236
ASDB020011952015,236
ASDB020054082015,236
ASDB020071272016,236
ASDB020021952021,69
ASDB020021952021,35
ASDB020021952021,67
ASDB020021952021,31
ASDB020021952021,30
ASDB020021952021,236
ASDB020021952021,344
ASDB020003292022,2
ASDB020003292022,236
ASDB020007902021,236
ASDB020111942022,236
ASDB020029242022,465
ASDB020085412018,507
ASDB020005232020,236
ASNL030030562016,465
ASNL030016722022,236
ASNL030003462022,236
ASNG030052532022,31
ASNG030052532022,2
ASNG030052532022,116
ASNG030052532022,53
ASNG030052532022,64
ASNG030052532022,30
ASNG030052532022,14
ASNG030052532022,235
ASNL030022092017,235
ASNL030016582022,465
ASNL030012932019,236
ASNL030016242018,465
ASNL030016242018,235
ASNL030000662022,236
ASNL030032022016,465
ASBK030007782019,61
ASBK030007782019,465
ASBK010001622022,880
ASBK010001622022,28
ASBK010001622022,236
ASBK030006342021,465
ASBK030001782020,465
ASCC030030232018,711
ASCC030030232018,582
ASCC030030232018,712
ASCC030030232018,713
ASCC030030232018,882
AS01060088692019,798
AS01060088692019,344
ASKM010017292022,330
ASKM010017292022,113
ASKM010017292022,344
ASKM010017292022,596
ASKM010017292022,488
ASKM010017292022,236
ASKM010017292022,815
ASKM010017292022,860
AS01060035702019,344
AS01060035702019,235
ASKM010007432022,330
ASKM010007432022,113
ASKM010007432022,344
ASKM010007432022,596
ASKM010007432022,488
ASKM010007432022,236
ASKM010007432022,815
ASKM010007432022,860
ASCC030026512016,465
ASCC030026512016,582
ASCC030000802017,236
ASCC030007012019,569
ASCC030007012019,465
ASCC030007012019,565
ASCC030007012019,724
ASCC030007012019,889
ASCC030007012019,725
ASCC030000812017,236
ASCC040025052017,465
ASCC040025052017,582
ASCC040025052017,712
ASCC040025052017,713
ASCC040025052017,714
ASCC030006622017,465
ASCC030006622017,582
ASCC030006622017,712
ASCC030006622017,713
ASCC030006622017,714
ASCC030000792017,236
ASCC010018752022,57
ASCC010018752022,2
ASCC010018752022,35
ASCC010018752022,72
ASCC010018752022,30
ASCC010018752022,236
ASCC030026492016,236
ASCC030026492016,799
ASCC030026492016,235
ASCC030006772017,236
ASCC030022672020,37
ASCC030022672020,236
ASCC030050962017,465
ASCC030050962017,582
ASCC030050962017,897
ASCC030014842017,465
ASCC030014842017,582
ASCC030014842017,712
ASCC030014842017,713
ASCC030014842017,714
ASCC030020522016,582
ASCC030020522016,906
ASCC030020522016,907
ASCC030020522016,823
ASCC030039082018,465
ASCC030039082018,912
ASCC030039082018,565
ASCC030039082018,913
ASCC030039082018,914
ASCC030039082018,915
ASCC040017672022,236
ASCC030029472017,465
ASCC030029472017,582
ASCC030029472017,712
ASCC030029472017,713
ASCC030029472017,714
ASCC040012742018,711
ASCC040012742018,582
ASCC040012742018,712
ASCC040012742018,713
ASCC040012742018,882
ASCC030023822019,69
ASCC030023822019,613
ASCC030001222017,236
ASCC030014692022,235
ASCC030014692022,464
ASCC030014692022,710
ASCC030023902019,236
AS01060105672022,236
ASKK010002072019,1183
ASKK010002072019,125
ASKK010002072019,272
ASKK010002072019,236
ASKK030003692018,235
ASKK030003692018,236
ASKK030004602019,235
ASKK030004602019,236
ASKK030004762017,465
ASKK030001802016,1185
ASKK030004072018,1183
ASKK030004072018,125
ASKK030004072018,272
ASKK030004072018,236
ASKK040001062018,235
ASKK040001062018,236
ASKK030012762022,236
ASCC030004022020,235
ASCC030004022020,464
ASCC030041922017,236
ASKM010023752022,665
ASKM010023752022,344
ASKM010023752022,488
ASKM010023752022,236
ASCC040025032017,465
ASCC040025032017,582
ASCC040025032017,712
ASCC040025032017,713
ASCC040025032017,714
ASCC030001302020,613
ASCC030009772022,2
ASCC030009772022,236
ASCC030001212017,236
ASKM010002542023,665
ASKM010002542023,212
ASKM010002542023,344
ASKM010002542023,937
ASKM010025192022,330
ASKM010025192022,113
ASKM010025192022,355
ASKM010025192022,344
ASKM010025192022,488
ASKM010025192022,236
ASKM010025192022,815
ASKM010028332018,108
ASKM010028332018,798
ASKM010028332018,344
ASCC030020872019,37
ASCC030020872019,235
ASCC030039862022,236
ASCC030020442016,569
ASCC030020442016,235
ASCC030013082018,465
ASCC030013082018,582
ASCC030013082018,712
ASCC030013082018,713
ASCC030013082018,714
ASCC030029462017,465
ASCC030029462017,582
ASCC030029462017,712
ASCC030029462017,713
ASCC030029462017,714
ASCC030032092017,465
ASCC030032092017,582
ASCC030032092017,712
ASCC030032092017,713
ASCC030032092017,714
ASCC040006202017,465
ASCC040006202017,582
ASCC040006202017,712
ASCC040006202017,713
ASCC040006202017,714
ASCC030024252021,235
ASCC030020472016,569
ASCC030020472016,235
ASCC030027282016,465
ASCC030027282016,554
ASCC030002092020,235
ASCC030026532016,465
ASCC030026532016,582
ASCC030032102017,465
ASCC030032102017,582
ASCC030032102017,712
ASCC030032102017,713
ASCC030032102017,714
ASCC030029412015,236
ASCC030029412015,799
ASCC030029412015,235
ASCC030029412015,906
ASCC030029412015,907
ASCC030029412015,941
ASCC030029412015,942
ASCC030031022021,37
ASCC030031022021,236
ASCC030013792021,235
ASCC040002792017,236
ASCC030039052018,465
ASCC030039052018,912
ASCC030039052018,565
ASCC030039052018,913
ASCC030039052018,914
ASCC030039052018,915
ASBN030004442020,236
ASBN030004422020,236
ASBN030007702016,949
ASBN030007702016,950
ASBN070002432022,470
ASBN070002432022,236
ASBN070011602021,813
ASBN030002532020,236
ASBN030002532020,67
ASBN070018252021,813
ASBN030003832020,236
ASBN070011612021,813
ASBN030025332019,57
ASBN030025332019,67
ASBN030025332019,236
ASBN030015122021,236
ASBN070001842019,235
ASBN070001842019,236
ASBN070018072022,965
ASBN070018072022,704
ASGL030005452021,720
ASGL030005452021,475
ASGL030014112022,966
ASGL030016502022,966
ASGL030007752020,35
ASGL030007752020,236
ASGL030007752020,527
ASGL080000152014,35
ASGL080000152014,527
ASGL080000152014,236
ASGL030010192021,972
ASGL030010192021,475
ASGL030010192021,720
ASGL030009942019,2
ASGL030009942019,35
ASGL030009942019,798
ASGL030008542021,720
ASGL030008542021,475
ASGL030013882015,717
ASGL030013882015,236
ASGL030014122022,966
ASTN090003322019,2
ASTN090003322019,35
ASTN090003322019,470
ASTN090003322019,14
ASTN090003322019,980
ASTN090003322019,236
ASTN090000102017,470
ASTN090000102017,982
ASTN040015032017,236
ASTN040003782020,69
ASTN040003782020,236
ASTN040004252016,465
ASTN060000192023,565
ASTN040013932017,236
ASTN040005252023,10
ASTN040005252023,991
ASTN040005252023,236
ASTN060004842016,10
ASTN060004842016,69
ASTN060004842016,236
ASTN090000022017,470
ASTN090000022017,69
ASTN090000022017,994
ASTN090000022017,995
ASTN040013912015,2
ASTN040013912015,35
ASTN040013912015,236
ASTN090005502019,69
ASTN090005502019,565
ASTN090002312022,465
ASTN040008382015,1006
ASTN040004272016,554
ASTN040001402022,470
ASTN040001402022,236
ASTN060008562018,236
ASTN060000362021,565
ASTN040004262016,465
AS01060002902023,236
AS01060004332022,470
AS01060004332022,236
AS01060076442021,470
AS01060076442021,465
ASKM030017582013,465
AS01060082842021,798
AS01060043322017,678
AS01060043322017,236
AS01060043322017,235
AS01060043322017,906
AS01060043322017,907
ASTN040012642019,2
ASTN040012642019,236
ASTN040004252015,236
ASTN040026112019,69
ASTN040026112019,565
ASTN040004242015,236
ASTN010003232023,10
ASTN010003232023,1016
ASTN010003232023,236
ASTN040004262015,236
ASTN040004232015,236
ASTN040010942022,470
ASTN040010942022,465
ASTN040010942022,691
ASTN040004282016,554
ASTN010000212023,10
ASTN010000212023,1028
ASTN010000212023,67
ASTN010000212023,236
ASTN010017362022,10
ASTN010017362022,1028
ASTN010017362022,67
ASTN010017362022,236
ASTN060002692020,565
ASTN060000252023,236
ASTN040021932022,470
ASTN040021932022,236
ASGA030005852023,470
ASGA030005852023,236
ASGA030029652019,755
ASGA030029652019,709
ASDU030000462020,28
ASDU030000462020,89
ASDU030000462020,1046
ASDU030000462020,41
ASDU030000462020,2
ASDU030000462020,236
AS01060061602021,236
AS01060043322017,823
AS01060003112020,236
AS01060124912022,236
AS01060016892022,235
AS01060043642015,1151
AS01060016592022,236
AS01060072112021,236
AS01060003782016,711
AS01060003932016,711
AS01060003722016,711
AS01060003792016,711
AS01060060602016,236
AS01060060602016,799
AS01060060602016,1172
ASKM010040472017,501
ASKM010040472017,110
ASKM010040472017,108
ASKM010040472017,861
ASKM010040472017,236
AS01060018452020,236
AS01060011362016,465
AS01060003692016,711
AS01060062742021,470
AS01060062742021,236
ASKM030022582015,465
AS01060063102021,235
AS01060196912022,236
AS01060040132023,798
ASKM010003362018,501
ASKM010003362018,110
ASKM010003362018,108
ASKM010003362018,861
ASKM010003362018,236
AS01060059452021,784
AS01060003742016,711
ASKM010026302017,802
ASKM010026302017,944
ASKM010026302017,339
ASKM010026302017,787
ASKM010026302017,1107
ASKM010026302017,236
ASKM010032002015,201
ASKM010032002015,105
ASKM010032002015,236
AS01060198792022,236
AS01060060442016,235
AS01060003772016,711
AS01060248102017,236
AS01060011612021,499
AS01060322622018,798
AS01060007192016,465
AS01060007192016,466
AS01060007192016,713
AS01060007192016,714
ASKM010035632022,531
ASKM010035632022,1128
ASKM010035632022,236
ASKM010039922018,236
AS01060003802016,711
AS01060197342022,236
AS01060099092018,31
AS01060099092018,35
AS01060099092018,236
AS01060023672020,236
BRSW020004772017,2066
BRSW020004762017,2066
BRSW020037332012,2062
BRGA010131062022,67
BRGA010131062022,2059
BRGA010131062022,2060
BRGA010131062022,2061
BRGA020045312021,2059
BRGA020045312021,2063
BRGA020007722017,2062
BRGA100000212023,39
BRGA100000212023,571
BRGA100000212023,246
BRGA100000212023,572
BRGA100000212023,87
BRGA100000212023,1188
BRGA100000212023,1714
BRGA100000212023,1283
BRGA100000212023,1284
BRGA020059072019,470
BRGA020059072019,2068
BRGA020059072019,2070
BRGA110006522018,39
BRGA110006522018,571
BRGA110006522018,246
BRGA110006522018,116
BRGA110006522018,2039
BRGA110006522018,30
BRGA110006522018,1260
BRGA110006522018,1714
BRGA010061092022,2076
BRGA010061092022,2077
BRGA020024902015,2062
BRGA020017382016,67
BRGA020017382016,14
BRGA020017382016,2059
BRGA020017382016,1335
BRGA020017382016,2081
BRGA020017382016,2082
BRGA010066422022,67
BRGA010066422022,470
BRGA010066422022,14
BRGA010066422022,2083
BRGA010066422022,2062
BRGA020062472021,67
BRGA020062472021,2084
BRGA020062472021,2068
BRGA020062472021,2085
BRGA110006532018,39
BRGA110006532018,571
BRGA110006532018,246
BRGA110006532018,116
BRGA110006532018,2039
BRGA110006532018,30
BRGA110006532018,1714
BRGA110006532018,1260
BRGA010118202021,67
BRGA010118202021,2068
BRGA010118202021,2085
BRGA020071452019,2062
BRGA010079592019,69
BRGA010079592019,2094
BRGA010079592019,2095
BRGA010079592019,2096
BRGA010079592019,2097
BRGA010079592019,2098
BRGA010079592019,2099
BRGA010079592019,2100
BRGA020001372019,67
BRGA020001372019,470
BRGA020001372019,2068
BRGA020001372019,2100
BRGA010001542017,1283
BRGA010001542017,1284
BRGA010001542017,1714
BRGA020007702017,2062
BRGA020037532019,2061
BRGA020037532019,2100
BRGA010047432021,67
BRGA010047432021,14
BRGA010047432021,2103
BRGA020053882017,67
BRGA020053882017,2068
BRGA010138192022,67
BRGA010138192022,650
BRGA010138192022,10
BRGA010138192022,470
BRGA010138192022,1335
BRGA010138192022,2068
BRGA020059392015,2062
BRGA020059942019,2
BRGA020059942019,35
BRGA020059942019,67
BRGA020059942019,204
BRGA020059942019,470
BRGA020059942019,1263
BRGA020059942019,2106
BRGA020059942019,1335
BRGA020059942019,2100
BRGA010101572020,67
BRGA010101572020,470
BRGA010101572020,2068
BRGA010101572020,2100
BRGA020070472018,2062
BRGA010000602022,67
BRGA010000602022,2084
BRGA010000602022,2068
BRGA010000602022,2085
BRGA020077032018,2118
BRGA010061822019,2
BRGA010061822019,67
BRGA010061822019,204
BRGA010061822019,470
BRGA010061822019,2119
BRGA010061822019,2100
BRGA010061822019,2068
BRGA020007082017,2062
BRGA020029892015,2121
BRGA020094062018,2123
BRGA020094062018,2111
BRGA020094062018,1713
BRGA020004972019,470
BRGA020004972019,67
BRGA020004972019,2068
BRGA020004972019,2127
BRGA110000942019,2062
BRGA110000942019,2128
BRGA110000942019,2129
BRGA110000942019,2130
BRGA110000942019,2131
BRGA110000942019,2132
BRGA010110602022,2076
BRGA010110602022,2068
BRGA010061762019,2
BRGA010061762019,2135
BRGA010061762019,2136
BRGA010061762019,2137
BRGA010061762019,2138
BRGA010061762019,2068
BRGA010061762019,2100
BRGA010095932018,67
BRGA010095932018,2068
BRGA020049592015,1046
BRGA020049592015,35
BRGA020049592015,2039
BRGA020049592015,125
BRGA020049592015,69
BRGA020049592015,2142
BRGA020049592015,1708
BRGA020049592015,2068
BRGA020007672017,2062
BRGA020040792021,2059
BRGA020040792021,2060
BRGA020040792021,2143
BRGA010066662020,67
BRGA010066662020,14
BRGA010066662020,2103
BRGA020007712017,2062
BRGA010029472021,67
BRGA010029472021,470
BRGA010029472021,2062
BRGA010029472021,2128
BRGA010029472021,2144
BRGA010029472021,2145
BRGA110010802018,39
BRGA110010802018,571
BRGA110010802018,246
BRGA110010802018,41
BRGA110010802018,1735
BRGA110010802018,13
BRGA110010802018,2039
BRGA110010802018,1714
BRGA020027952015,2062
BRGA010001242016,13
BRGA010001242016,1197
BRGA010001242016,221
BRGA010001242016,2181
BRGA010001242016,2182
BRGA010001242016,1696
BRGA010001242016,1714
BRGA020016802015,2062
BRGA110021332018,1970
BRGA110021332018,470
BRGA110021332018,2185
BRGA020056222019,2186
BRGA020056222019,67
BRGA020056222019,204
BRGA020056222019,470
BRGA020056222019,2106
BRGA020056222019,2187
BRGA110007332021,2059
BRGA110007332021,2189
BRGA020003942015,2062
BRGA010071982020,67
BRGA010071982020,650
BRGA010071982020,2068
BRGA020006412021,2059
BRGA020006412021,2063
BRGA020060752017,67
BRGA020060752017,2068
BRGA020034122021,2068
BRGA020034122021,2085
BRGA020048022016,94
BRGA020048022016,1714
BRGA020037382018,35
BRGA020037382018,2
BRGA020037382018,116
BRGA020037382018,72
BRGA020037382018,2039
BRGA020037382018,89
BRGA020037382018,2068
BRGA010075522022,67
BRGA010075522022,470
BRGA010075522022,2106
BRGA010075522022,2059
BRGA010075522022,2208
BRGA020007042017,2062
BRGA010038152019,29
BRGA010038152019,10
BRGA010038152019,1183
BRGA010038152019,67
BRGA010038152019,470
BRGA010038152019,2209
BRGA010038152019,2210
BRGA010025822020,67
BRGA010025822020,14
BRGA010025822020,2211
BRGA020009252018,13
BRGA020009252018,1380
BRGA020009252018,14
BRGA020009252018,1714
BRGA010084672020,67
BRGA010084672020,470
BRGA010084672020,2068
BRGA010084672020,2100
BRGA010073062021,67
BRGA010073062021,470
BRGA010073062021,2211
BRGA010073062021,2128
BRGA010073062021,2219
BRGA010073062021,2220
BRGA010033272021,67
BRGA010033272021,14
BRGA010033272021,2211
BRGA010096922021,67
BRGA010096922021,650
BRGA010096922021,2068
BRGA010076472021,2059
BRGA010076472021,2060
BRGA010076472021,2230
BRGA020026612022,2059
BRGA020026612022,2063
BRGA010012872021,67
BRGA010012872021,470
BRGA010012872021,2234
BRGA010012872021,2235
BRGA010012872021,2062
BRGA010012872021,2128
BRGA110010682022,2076
BRGA110010682022,2077
BRGA020007842017,2062
BRGA010160412021,67
BRGA010160412021,2084
BRGA010160412021,2068
BRGA010160412021,2085
BRVA020034882018,2103
BRVA020059112021,2103
BRVA020022482017,2103
BRVA020037642018,2068
BRVA020037642018,1335
BRVA020026572015,2062
BRVA020027912016,39
BRVA020027912016,571
BRVA020027912016,246
BRVA020027912016,32
BRVA020027912016,41
BRVA020027912016,35
BRVA020027912016,736
BRVA020027912016,2039
BRVA020027912016,1197
BRVA020027912016,87
BRVA020027912016,30
BRVA020027912016,2247
BRVA020027912016,2248
BRVA020020982015,2103
BRVA020059082021,2103
BRVA020035152018,2253
BRVA020020962015,2103
BRVA020011672016,2103
BRVA020010552016,2103
BRVA010027572022,67
BRVA010027572022,14
BRVA010027572022,2100
BRVA010027572022,2059
BRVA010027572022,2068
BRVA020006042016,2257
BRVA020011582016,2103
BRVA020023012017,2103
BRVA020059092021,2103
BRVA020020372020,2259
BRVA020020372020,1335
BRVA020020372020,2100
BRVA020020372020,2260
BRVA020020372020,2261
BRVA020020372020,2
BRVA020020372020,37
BRVA020020372020,69
BRVA020020372020,470
BRVA020020372020,2060
BRVA020085232019,67
BRVA020085232019,1970
BRVA020085232019,69
BRVA020085232019,1255
BRVA020085232019,470
BRVA020085232019,2061
BRVA020034802018,2103
BRVA020035132018,2253
BRVA010014982016,67
BRVA010014982016,2
BRVA010014982016,35
BRVA010014982016,2039
BRVA010014982016,57
BRVA010014982016,2262
BRVA010014982016,2263
BRVA010014982016,2264
BRVA010014982016,1713
BRVA010014982016,1715
BRVA010014982016,2265
BRVA010014982016,2266
BRVA020026542015,2062
BRVA020010522018,2062
BRVA010105592022,73
BRVA010105592022,69
BRVA010105592022,67
BRVA010105592022,2059
BRVA010105592022,2103
BRVA020019862015,2062
BRVA020010382015,2062
BRVA020021642016,2062
BRVA020018882017,2103
